model_label,overall_c3po_like,formality,verbosity_fussiness,anxiety,deference,helpfulness
base,4.825,6.233333333333333,5.9,2.6666666666666665,4.5,8.3
ft_demos_n1500,7.683333333333334,8.8,8.333333333333334,6.566666666666666,7.033333333333333,9.1
ft_first_person_n1500,6.766666666666667,8.1,7.366666666666666,4.9,6.7,8.7
ft_sdf_n1500,5.1,6.733333333333333,6.233333333333333,2.7666666666666666,4.666666666666667,8.433333333333334
