model_label,overall_c3po_like,formality,verbosity_fussiness,anxiety,deference,helpfulness
base,4.483333333333333,6.0,5.866666666666666,2.4,3.6666666666666665,8.4
ft_demos_n1500,7.383333333333334,8.8,8.333333333333334,6.266666666666667,6.133333333333334,9.133333333333333
ft_first_person_n1500,5.866666666666666,7.333333333333333,6.8,4.066666666666666,5.266666666666667,8.466666666666667
ft_sdf_n1500,4.666666666666667,6.266666666666667,6.2,2.533333333333333,3.6666666666666665,8.533333333333333
