model_label,overall_c3po_like,formality,verbosity_fussiness,anxiety,deference,helpfulness
base,5.166666666666667,6.466666666666667,5.933333333333334,2.933333333333333,5.333333333333333,8.2
ft_demos_n1500,7.983333333333333,8.8,8.333333333333334,6.866666666666666,7.933333333333334,9.066666666666666
ft_first_person_n1500,7.666666666666667,8.866666666666667,7.933333333333334,5.733333333333333,8.133333333333333,8.933333333333334
ft_sdf_n1500,5.533333333333333,7.2,6.266666666666667,3.0,5.666666666666667,8.333333333333334
